Ticker,Price,Market Cap,Date
BTE,0.02976,61361.52,01/04/2014
BLTZ,0.0006708,61306.91,01/04/2014
MARS,0.01253,58753.96,01/04/2014
GPUC,0.00005552,58180.31,01/04/2014
DTC,0.03236,55444.00,01/04/2014
ICN,0.005729,55331.59,01/04/2014
BAT,0.000008438,54689.02,01/04/2014
PANDA,0.000004784,51458.68,01/04/2014
LKY,0.003521,48946.04,01/04/2014
DEM,0.008152,48827.94,01/04/2014
888,0.004538,48503.09,01/04/2014
PND,0.000001596,45445.12,01/04/2014
NC2,0.0009075,45375.06,01/04/2014
KDC,0.006297,45155.52,01/04/2014
ELC,0.1387,44688.42,01/04/2014
66,4705.45,44005.48,01/04/2014
BTG,1.70,43387.40,01/04/2014
GLB,0.03349,42806.77,01/04/2014
EMO,0.000001076,42689.52,01/04/2014
ARG,0.03637,41850.01,01/04/2014
ASC,0.00008904,41104.16,01/04/2014
FRK,0.2892,40692.63,01/04/2014
GRUMP,0.000002541,40193.95,01/04/2014
KRN,0.03284,40095.55,01/04/2014
RBY,0.003319,37571.75,01/04/2014
DMD,0.1086,35877.49,01/04/2014
RT2,2.84,35097.72,01/04/2014
GLC,0.0008611,33675.17,01/04/2014
BET,0.003573,33035.72,01/04/2014
NYAN,0.0007713,32745.62,01/04/2014
LTB,0.4258,32231.25,01/04/2014
FZ,0.004964,32160.17,01/04/2014
MTS,0.01215,31674.76,01/04/2014
CTM,4.949E-7,30994.15,01/04/2014
JKC,0.002644,27091.49,01/04/2014
DOPE,0.0007941,24999.10,01/04/2014
BCX,0.002618,24427.92,01/04/2014
CORG,5.384E-7,23452.49,01/04/2014
VEL,0.0004789,22764.98,01/04/2014
FLAP,6.566E-7,22143.25,01/04/2014
PMC,0.04426,22084.27,01/04/2014
TAK,0.0001257,21355.67,01/04/2014
GHC,0.0001102,20312.99,01/04/2014
RPC,0.5277,19950.78,01/04/2014
CASH,0.009165,18954.14,01/04/2014
BLC,0.008946,18724.53,01/04/2014
GAC,0.002535,18629.28,01/04/2014
CGA,0.6417,18327.01,01/04/2014
TEA,0.0004455,17970.56,01/04/2014
BEN,0.007387,17917.72,01/04/2014
ANI,0.00001435,17203.11,01/04/2014
CSC,0.0009711,16230.92,01/04/2014
PXC,0.001325,15883.84,01/04/2014
SBC,0.001301,15348.78,01/04/2014
ZTC,0.004664,15223.35,01/04/2014
ZED,0.001524,14807.99,01/04/2014
QQC,0.0006573,13272.79,01/04/2014
LGBT,0.00001327,13214.78,01/04/2014
NEC,0.002637,13101.20,01/04/2014
NRB,0.005535,12310.38,01/04/2014
XJO,0.002052,11968.33,01/04/2014
CRC,0.02545,11860.29,01/04/2014
SKC,0.002697,11836.76,01/04/2014
SUN,0.006209,11697.20,01/04/2014
PAWN,0.002039,10272.25,01/04/2014
EBT,0.00007666,10240.05,01/04/2014
OSC,0.002405,10195.40,01/04/2014
BTC,457.76,5821427536.68,01/05/2014
LTC,11.10,310545854.64,01/05/2014
PPC,2.22,47441168.09,01/05/2014
XRP,0.005413,42319438.85,01/05/2014
DOGE,0.0005045,38085579.52,01/05/2014
NXT,0.02306,23055874.47,01/05/2014
OMNI,36.78,22783984.17,01/05/2014
NMC,2.24,19338333.29,01/05/2014
BLK,0.1137,8475473.37,01/05/2014
MAID,0.01406,6364977.87,01/05/2014
DASH,1.52,6351414.17,01/05/2014
PTS,3.68,6004760.34,01/05/2014
AUR,0.5473,5888435.01,01/05/2014
QRK,0.01843,4567902.87,01/05/2014
ZET,0.02766,4435928.51,01/05/2014
XPM,0.7903,4330486.05,01/05/2014
XCP,1.56,4138396.57,01/05/2014
FTC,0.09073,3775908.08,01/05/2014
VTC,0.8991,3561531.89,01/05/2014
NVC,3.16,2478133.35,01/05/2014
IFC,0.00002283,2066601.17,01/05/2014
MEC,0.08356,1944012.50,01/05/2014
MAX,0.08052,1862627.18,01/05/2014
MTC,0.2444,1774433.47,01/05/2014
WDC,0.03145,1697930.99,01/05/2014
YBC,1.20,1685825.47,01/05/2014
IXC,0.0829,1603828.21,01/05/2014
BTL,0.0004574,1147794.47,01/05/2014
XWC,0.003591,1085564.28,01/05/2014
MINT,0.00005594,1059970.42,01/05/2014
FLT,0.005225,963582.19,01/05/2014
HBN,0.2288,943319.91,01/05/2014
BIL,0.000125,920937.69,01/05/2014
PRT,0.001227,859228.94,01/05/2014
AC,0.005924,836768.75,01/05/2014
DVC,0.0001183,804428.25,01/05/2014
UTC,0.05143,728725.69,01/05/2014
XMY,0.003281,638466.76,01/05/2014
ANC,0.7188,630918.75,01/05/2014
CINNI,0.03983,597523.96,01/05/2014
TRC,0.08993,566952.51,01/05/2014
USDE,0.0007854,508724.51,01/05/2014
RDD,0.00002337,505693.82,01/05/2014
APC,0.02868,481757.36,01/05/2014
DGC,0.03044,455105.07,01/05/2014
TIX,0.000006577,439861.84,01/05/2014
FRC,0.0097,426802.86,01/05/2014
POT,0.004495,405290.84,01/05/2014
UNO,2.32,404558.58,01/05/2014
ZEIT,0.00001399,379721.65,01/05/2014
NET,0.001438,372378.73,01/05/2014
CLR,0.04799,368444.10,01/05/2014
CBX,0.3799,360887.56,01/05/2014
DGB,0.0003296,352341.02,01/05/2014
GRCX,0.01905,349545.47,01/05/2014
EDU,0.000004574,282929.76,01/05/2014
PTC,0.0103,279660.31,01/05/2014
MONA,0.04391,269649.94,01/05/2014
GLC,0.008242,253771.64,01/05/2014
CAIx,0.204,252690.52,01/05/2014
UNC,0.02996,251364.48,01/05/2014
KARMA,0.000004913,244738.11,01/05/2014
LGD,0.1801,237431.29,01/05/2014
NAS,0.00002329,232912.64,01/05/2014
QBC,0.01098,232576.11,01/05/2014
ECC,0.00001369,230031.87,01/05/2014
MUN,0.009147,227259.68,01/05/2014
KAR,0.02094,222300.67,01/05/2014
SRC,0.1276,220331.54,01/05/2014
NOBL,0.000192,209428.48,01/05/2014
COL,6.657E-7,208300.35,01/05/2014
WATER,0.0004162,202058.83,01/05/2014
SAT,0.00002833,197353.71,01/05/2014
DMD,0.5262,194427.25,01/05/2014
TIPS,7.815E-7,183525.35,01/05/2014
TAG,0.1369,180417.38,01/05/2014
EXC,0.05173,179578.46,01/05/2014
EMC2,0.002153,176788.61,01/05/2014
NLG,0.0008324,174524.24,01/05/2014
BQC,0.004856,171297.53,01/05/2014
